model_id,kind,deployment_role,repeat,seed,fold,n,accuracy,balanced_accuracy,macro_f1,ordinal_mae,adjacent_accuracy,two_grade_error_rate,quadratic_weighted_kappa,severe_auroc_from_prob_3
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,2,20260607,4,197,0.5431472081218274,0.5683356676003736,0.5347651775486827,0.5076142131979695,0.949238578680203,0.050761421319796954,0.3878502252835465,0.7009132420091325
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,0,198,0.5252525252525253,0.4943169575522517,0.4911585146879265,0.5,0.9747474747474747,0.025252525252525252,0.36594394500264404,0.6417281348788197
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,1,198,0.494949494949495,0.4730257487610429,0.4616049382716049,0.5353535353535354,0.9696969696969697,0.030303030303030304,0.3431174089068826,0.6816385669125394
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,2,198,0.5808080808080808,0.5681022408963585,0.5529815529815529,0.47474747474747475,0.9444444444444444,0.05555555555555555,0.3651741293532339,0.7525026343519493
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,3,197,0.5532994923857868,0.5514122315592904,0.532816778510548,0.4720812182741117,0.9746192893401016,0.025380710659898477,0.4423864354612659,0.738248724147193
image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,3,20260608,4,197,0.49238578680203043,0.41777544351073764,0.41924138076283146,0.5583756345177665,0.949238578680203,0.050761421319796954,0.20613763174209543,0.6635777598710717
image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,0,198,0.5454545454545454,0.5370475113122172,0.5264193274524421,0.47474747474747475,0.9797979797979798,0.020202020202020204,0.4321862348178137,0.7251053740779768
image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,1,198,0.5151515151515151,0.45422592113768584,0.45977907732293694,0.5151515151515151,0.9696969696969697,0.030303030303030304,0.29865771812080544,0.6448893572181243
image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,2,198,0.5606060606060606,0.5562378797672914,0.5377937154856517,0.4696969696969697,0.9696969696969697,0.030303030303030304,0.431314623338257,0.7689673340358272
image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,1,20260606,3,197,0.5989847715736041,0.5975140056022409,0.5782969899038933,0.43147208121827413,0.9695431472081218,0.030456852791878174,0.4638779002889768,0.6856030083266182
