repeat,seed,fold,eval_split,model,feature_set,true_label,pred_label,count
1,20260606,2,test,stratified_random,class_prior,1,3,4
1,20260606,2,test,stratified_random,class_prior,2,1,24
1,20260606,2,test,stratified_random,class_prior,2,2,59
1,20260606,2,test,stratified_random,class_prior,2,3,29
1,20260606,2,test,stratified_random,class_prior,3,1,3
1,20260606,2,test,stratified_random,class_prior,3,2,26
1,20260606,2,test,stratified_random,class_prior,3,3,23
1,20260606,2,val,multinomial_logistic,age_sex,1,1,24
1,20260606,2,val,multinomial_logistic,age_sex,1,2,7
1,20260606,2,val,multinomial_logistic,age_sex,1,3,3
1,20260606,2,val,multinomial_logistic,age_sex,2,1,21
1,20260606,2,val,multinomial_logistic,age_sex,2,2,60
1,20260606,2,val,multinomial_logistic,age_sex,2,3,31
1,20260606,2,val,multinomial_logistic,age_sex,3,1,18
1,20260606,2,val,multinomial_logistic,age_sex,3,2,18
1,20260606,2,val,multinomial_logistic,age_sex,3,3,15
1,20260606,2,test,multinomial_logistic,age_sex,1,1,25
1,20260606,2,test,multinomial_logistic,age_sex,1,2,5
1,20260606,2,test,multinomial_logistic,age_sex,1,3,4
1,20260606,2,test,multinomial_logistic,age_sex,2,1,25
1,20260606,2,test,multinomial_logistic,age_sex,2,2,59
1,20260606,2,test,multinomial_logistic,age_sex,2,3,28
1,20260606,2,test,multinomial_logistic,age_sex,3,1,12
1,20260606,2,test,multinomial_logistic,age_sex,3,2,21
1,20260606,2,test,multinomial_logistic,age_sex,3,3,19
1,20260606,2,val,multinomial_logistic,image_geometry_file,1,1,13
1,20260606,2,val,multinomial_logistic,image_geometry_file,1,2,7
1,20260606,2,val,multinomial_logistic,image_geometry_file,1,3,14
1,20260606,2,val,multinomial_logistic,image_geometry_file,2,1,31
1,20260606,2,val,multinomial_logistic,image_geometry_file,2,2,35
1,20260606,2,val,multinomial_logistic,image_geometry_file,2,3,46
1,20260606,2,val,multinomial_logistic,image_geometry_file,3,1,21
1,20260606,2,val,multinomial_logistic,image_geometry_file,3,2,7
1,20260606,2,val,multinomial_logistic,image_geometry_file,3,3,23
1,20260606,2,test,multinomial_logistic,image_geometry_file,1,1,10
1,20260606,2,test,multinomial_logistic,image_geometry_file,1,2,6
1,20260606,2,test,multinomial_logistic,image_geometry_file,1,3,18
1,20260606,2,test,multinomial_logistic,image_geometry_file,2,1,30
1,20260606,2,test,multinomial_logistic,image_geometry_file,2,2,29
1,20260606,2,test,multinomial_logistic,image_geometry_file,2,3,53
1,20260606,2,test,multinomial_logistic,image_geometry_file,3,1,13
1,20260606,2,test,multinomial_logistic,image_geometry_file,3,2,13
1,20260606,2,test,multinomial_logistic,image_geometry_file,3,3,26
1,20260606,2,val,multinomial_logistic,admin_index,1,1,11
1,20260606,2,val,multinomial_logistic,admin_index,1,2,4
1,20260606,2,val,multinomial_logistic,admin_index,1,3,19
1,20260606,2,val,multinomial_logistic,admin_index,2,1,56
1,20260606,2,val,multinomial_logistic,admin_index,2,2,5
1,20260606,2,val,multinomial_logistic,admin_index,2,3,51
1,20260606,2,val,multinomial_logistic,admin_index,3,1,21
1,20260606,2,val,multinomial_logistic,admin_index,3,2,0
1,20260606,2,val,multinomial_logistic,admin_index,3,3,30
1,20260606,2,test,multinomial_logistic,admin_index,1,1,7
1,20260606,2,test,multinomial_logistic,admin_index,1,2,3
1,20260606,2,test,multinomial_logistic,admin_index,1,3,24
1,20260606,2,test,multinomial_logistic,admin_index,2,1,58
1,20260606,2,test,multinomial_logistic,admin_index,2,2,6
1,20260606,2,test,multinomial_logistic,admin_index,2,3,48
1,20260606,2,test,multinomial_logistic,admin_index,3,1,28
1,20260606,2,test,multinomial_logistic,admin_index,3,2,0
1,20260606,2,test,multinomial_logistic,admin_index,3,3,24
1,20260606,2,val,multinomial_logistic,age_sex_geometry,1,1,27
1,20260606,2,val,multinomial_logistic,age_sex_geometry,1,2,6
1,20260606,2,val,multinomial_logistic,age_sex_geometry,1,3,1
1,20260606,2,val,multinomial_logistic,age_sex_geometry,2,1,32
1,20260606,2,val,multinomial_logistic,age_sex_geometry,2,2,58
1,20260606,2,val,multinomial_logistic,age_sex_geometry,2,3,22
1,20260606,2,val,multinomial_logistic,age_sex_geometry,3,1,20
1,20260606,2,val,multinomial_logistic,age_sex_geometry,3,2,16
1,20260606,2,val,multinomial_logistic,age_sex_geometry,3,3,15
1,20260606,2,test,multinomial_logistic,age_sex_geometry,1,1,26
1,20260606,2,test,multinomial_logistic,age_sex_geometry,1,2,7
1,20260606,2,test,multinomial_logistic,age_sex_geometry,1,3,1
1,20260606,2,test,multinomial_logistic,age_sex_geometry,2,1,39
1,20260606,2,test,multinomial_logistic,age_sex_geometry,2,2,53
1,20260606,2,test,multinomial_logistic,age_sex_geometry,2,3,20
1,20260606,2,test,multinomial_logistic,age_sex_geometry,3,1,17
1,20260606,2,test,multinomial_logistic,age_sex_geometry,3,2,19
1,20260606,2,test,multinomial_logistic,age_sex_geometry,3,3,16
1,20260606,2,val,multinomial_logistic,downstream_status,1,1,31
1,20260606,2,val,multinomial_logistic,downstream_status,1,2,3
1,20260606,2,val,multinomial_logistic,downstream_status,1,3,0
1,20260606,2,val,multinomial_logistic,downstream_status,2,1,64
1,20260606,2,val,multinomial_logistic,downstream_status,2,2,22
