model_id,repeat,seed,fold,subgroup_type,subgroup,n,accuracy,balanced_accuracy,macro_f1
image_efficientnet_b0_temperature_scaled,1,20260606,0,gender,gender_0,101,0.6138613861386139,0.5993650793650793,0.6103202568318847
image_efficientnet_b0_temperature_scaled,1,20260606,0,gender,gender_1,97,0.5257731958762887,0.42476851851851855,0.4140040723439933
image_efficientnet_b0_temperature_scaled,1,20260606,1,gender,gender_0,94,0.5212765957446809,0.5015503875968993,0.5065876152832675
image_efficientnet_b0_temperature_scaled,1,20260606,1,gender,gender_1,104,0.4807692307692308,0.34565836739749783,0.342505514919308
image_efficientnet_b0_temperature_scaled,1,20260606,2,gender,gender_0,99,0.5757575757575758,0.6034362462933891,0.5775769869076156
image_efficientnet_b0_temperature_scaled,1,20260606,2,gender,gender_1,99,0.5656565656565656,0.41865079365079366,0.4186127946127946
image_efficientnet_b0_temperature_scaled,1,20260606,3,gender,gender_0,104,0.5384615384615384,0.5619494174481386,0.5562478460394333
image_efficientnet_b0_temperature_scaled,1,20260606,3,gender,gender_1,93,0.6344086021505376,0.5050268492891443,0.5023615950445218
image_efficientnet_b0_temperature_scaled,1,20260606,4,gender,gender_0,105,0.49523809523809526,0.4914344109996284,0.48411075925406305
image_efficientnet_b0_temperature_scaled,1,20260606,4,gender,gender_1,92,0.5,0.402020202020202,0.39502043849869944
image_efficientnet_b0_temperature_scaled,2,20260607,0,gender,gender_0,97,0.5670103092783505,0.561862587224906,0.5576259489302967
image_efficientnet_b0_temperature_scaled,2,20260607,0,gender,gender_1,101,0.5247524752475248,0.4270707070707071,0.41620348926972367
image_efficientnet_b0_temperature_scaled,2,20260607,1,gender,gender_0,92,0.4891304347826087,0.4825225225225225,0.48989898989898983
image_efficientnet_b0_temperature_scaled,2,20260607,1,gender,gender_1,106,0.5094339622641509,0.44531986531986534,0.40615326414730585
image_efficientnet_b0_temperature_scaled,2,20260607,2,gender,gender_0,103,0.5825242718446602,0.5835046113306983,0.5712820512820512
image_efficientnet_b0_temperature_scaled,2,20260607,2,gender,gender_1,95,0.45263157894736844,0.39476637722251756,0.38088932590407515
image_efficientnet_b0_temperature_scaled,2,20260607,3,gender,gender_0,109,0.41284403669724773,0.427021107128634,0.4048430649516564
image_efficientnet_b0_temperature_scaled,2,20260607,3,gender,gender_1,88,0.5227272727272727,0.44540229885057464,0.43277421291605683
image_efficientnet_b0_temperature_scaled,2,20260607,4,gender,gender_0,102,0.6078431372549019,0.626596279537456,0.6043696405765372
image_efficientnet_b0_temperature_scaled,2,20260607,4,gender,gender_1,95,0.4631578947368421,0.4158259773013871,0.3850267379679145
image_efficientnet_b0_temperature_scaled,3,20260608,0,gender,gender_0,95,0.5368421052631579,0.5228743961352657,0.5231969131738717
image_efficientnet_b0_temperature_scaled,3,20260608,0,gender,gender_1,103,0.49514563106796117,0.42996632996632994,0.41231453181439287
image_efficientnet_b0_temperature_scaled,3,20260608,1,gender,gender_0,105,0.45714285714285713,0.4466666666666666,0.4473493100944081
image_efficientnet_b0_temperature_scaled,3,20260608,1,gender,gender_1,93,0.5268817204301075,0.4999456934940807,0.4610597183677665
image_efficientnet_b0_temperature_scaled,3,20260608,2,gender,gender_0,102,0.5588235294117647,0.5755555555555555,0.5587484035759899
image_efficientnet_b0_temperature_scaled,3,20260608,2,gender,gender_1,96,0.6041666666666666,0.4869147180975138,0.4728709049195865
image_efficientnet_b0_temperature_scaled,3,20260608,3,gender,gender_0,98,0.5714285714285714,0.604105033826396,0.5792686845318424
image_efficientnet_b0_temperature_scaled,3,20260608,3,gender,gender_1,99,0.5353535353535354,0.42725587747536825,0.38468720821661995
image_efficientnet_b0_temperature_scaled,3,20260608,4,gender,gender_0,103,0.5048543689320388,0.4764957264957265,0.47375643224699826
image_efficientnet_b0_temperature_scaled,3,20260608,4,gender,gender_1,94,0.4574468085106383,0.37054673721340387,0.3490819525302284
